===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,MA_1_0,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,MACD_Strategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,Bolling_2_0,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
89,,30,2020-10-20 00:00:00,14935.0,14980.0,14605.0,14830.0,763913.0,,MA_1_0,30,737718.0,Broker,30,134107.25,160059.75,BuySell,30,,,Trades - Net Profit/Loss,30,,,MACD_Strategy,30,737718.0,Broker,30,134107.25,160059.75,BuySell,30,,,Trades - Net Profit/Loss,30,,,Bolling_2_0,29,737717.0,Broker,29,141964.5,162873.5,BuySell,29,14287.425,,Trades - Net Profit/Loss,29,,
90,,30,2020-10-20 00:00:00,14935.0,14980.0,14605.0,14830.0,763913.0,,MA_1_0,30,737718.0,Broker,30,134107.25,160059.75,BuySell,30,,,Trades - Net Profit/Loss,30,,,MACD_Strategy,30,737718.0,Broker,30,134107.25,160059.75,BuySell,30,,,Trades - Net Profit/Loss,30,,,Bolling_2_0,30,737718.0,Broker,30,134107.25,160059.75,BuySell,30,14385.925,,Trades - Net Profit/Loss,30,,
91,,31,2020-10-21 00:00:00,14850.0,14865.0,14545.0,14635.0,828828.0,,MA_1_0,31,737719.0,Broker,31,122954.75,153688.25,BuySell,31,,,Trades - Net Profit/Loss,31,,,MACD_Strategy,30,737718.0,Broker,30,134107.25,160059.75,BuySell,30,,,Trades - Net Profit/Loss,30,,,Bolling_2_0,30,737718.0,Broker,30,134107.25,160059.75,BuySell,30,14385.925,,Trades - Net Profit/Loss,30,,
92,,31,2020-10-21 00:00:00,14850.0,14865.0,14545.0,14635.0,828828.0,,MA_1_0,31,737719.0,Broker,31,122954.75,153688.25,BuySell,31,,,Trades - Net Profit/Loss,31,,,MACD_Strategy,31,737719.0,Broker,31,122954.75,153688.25,BuySell,31,,,Trades - Net Profit/Loss,31,,,Bolling_2_0,30,737718.0,Broker,30,134107.25,160059.75,BuySell,30,14385.925,,Trades - Net Profit/Loss,30,,
93,,31,2020-10-21 00:00:00,14850.0,14865.0,14545.0,14635.0,828828.0,,MA_1_0,31,737719.0,Broker,31,122954.75,153688.25,BuySell,31,,,Trades - Net Profit/Loss,31,,,MACD_Strategy,31,737719.0,Broker,31,122954.75,153688.25,BuySell,31,,,Trades - Net Profit/Loss,31,,,Bolling_2_0,31,737719.0,Broker,31,122954.75,153688.25,BuySell,31,14326.824999999999,,Trades - Net Profit/Loss,31,,
94,,32,2020-10-22 00:00:00,14735.0,14750.0,14350.0,14505.0,811720.0,,MA_1_0,32,737720.0,Broker,32,112742.5,148279.75,BuySell,32,,,Trades - Net Profit/Loss,32,,,MACD_Strategy,31,737719.0,Broker,31,122954.75,153688.25,BuySell,31,,,Trades - Net Profit/Loss,31,,,Bolling_2_0,31,737719.0,Broker,31,122954.75,153688.25,BuySell,31,14326.824999999999,,Trades - Net Profit/Loss,31,,
95,,32,2020-10-22 00:00:00,14735.0,14750.0,14350.0,14505.0,811720.0,,MA_1_0,32,737720.0,Broker,32,112742.5,148279.75,BuySell,32,,,Trades - Net Profit/Loss,32,,,MACD_Strategy,32,737720.0,Broker,32,112742.5,148279.75,BuySell,32,,,Trades - Net Profit/Loss,32,,,Bolling_2_0,31,737719.0,Broker,31,122954.75,153688.25,BuySell,31,14326.824999999999,,Trades - Net Profit/Loss,31,,
96,,32,2020-10-22 00:00:00,14735.0,14750.0,14350.0,14505.0,811720.0,,MA_1_0,32,737720.0,Broker,32,112742.5,148279.75,BuySell,32,,,Trades - Net Profit/Loss,32,,,MACD_Strategy,32,737720.0,Broker,32,112742.5,148279.75,BuySell,32,,,Trades - Net Profit/Loss,32,,,Bolling_2_0,32,737720.0,Broker,32,112742.5,148279.75,BuySell,32,14134.75,,Trades - Net Profit/Loss,32,,
97,,33,2020-10-23 00:00:00,14530.0,14745.0,14410.0,14425.0,725149.0,,MA_1_0,33,737721.0,Broker,33,104327.0,144717.0,BuySell,33,,,Trades - Net Profit/Loss,33,,,MACD_Strategy,32,737720.0,Broker,32,112742.5,148279.75,BuySell,32,,,Trades - Net Profit/Loss,32,,,Bolling_2_0,32,737720.0,Broker,32,112742.5,148279.75,BuySell,32,14134.75,,Trades - Net Profit/Loss,32,,
98,,33,2020-10-23 00:00:00,14530.0,14745.0,14410.0,14425.0,725149.0,,MA_1_0,33,737721.0,Broker,33,104327.0,144717.0,BuySell,33,,,Trades - Net Profit/Loss,33,,,MACD_Strategy,33,737721.0,Broker,33,104327.0,144717.0,BuySell,33,,,Trades - Net Profit/Loss,33,,,Bolling_2_0,32,737720.0,Broker,32,112742.5,148279.75,BuySell,32,14134.75,,Trades - Net Profit/Loss,32,,
