date,open,close,high,low,volume
2009-11-30,15800.0,15800.0,15900.0,15635.0,0
2009-12-01,15830.0,15610.0,15835.0,15560.0,0
2009-12-02,15565.0,15655.0,15735.0,15540.0,0
2009-12-03,15620.0,15960.0,15985.0,15605.0,0
2009-12-04,15905.0,15865.0,15995.0,15785.0,0
2009-12-07,15855.0,16100.0,16130.0,15855.0,0
2009-12-08,16210.0,16140.0,16310.0,16045.0,0
2009-12-09,16010.0,15750.0,16050.0,15740.0,0
2009-12-10,15785.0,15760.0,15900.0,15640.0,0
2009-12-11,15750.0,15770.0,15905.0,15700.0,0
2009-12-14,15835.0,15725.0,15845.0,15635.0,0
2009-12-15,15860.0,16070.0,16080.0,15810.0,0
2009-12-16,16005.0,15995.0,16065.0,15950.0,0
2009-12-17,16170.0,15860.0,16175.0,15840.0,0
2009-12-18,15780.0,15970.0,16045.0,15780.0,0
2009-12-21,15995.0,15885.0,15995.0,15850.0,0
2009-12-22,15845.0,15915.0,16065.0,15840.0,0
2009-12-23,15870.0,15730.0,15920.0,15680.0,0
2009-12-24,15770.0,15800.0,15830.0,15665.0,0
2009-12-25,15770.0,15995.0,16055.0,15725.0,0
2009-12-28,16040.0,16575.0,16575.0,16020.0,0
2009-12-29,16640.0,16500.0,16715.0,16460.0,0
2009-12-30,16480.0,16485.0,16580.0,16390.0,0
2009-12-31,16540.0,16520.0,16615.0,16450.0,0
2010-01-04,16600.0,16610.0,16845.0,16530.0,0
2010-01-05,16650.0,16525.0,16680.0,16485.0,0
2010-01-06,16280.0,16320.0,16480.0,16190.0,0
2010-01-07,16395.0,16035.0,16500.0,15710.0,0
2010-01-08,16030.0,15960.0,16065.0,15800.0,0
2010-01-11,16060.0,16040.0,16165.0,15985.0,0
2010-01-12,16120.0,16070.0,16215.0,15965.0,0
2010-01-13,15780.0,15755.0,15880.0,15740.0,0
2010-01-14,15900.0,15780.0,15900.0,15770.0,0
2010-01-15,15750.0,15685.0,15820.0,15660.0,0
2010-01-18,15605.0,15680.0,15715.0,15580.0,0
2010-01-19,15725.0,15680.0,15750.0,15650.0,0
2010-01-20,15680.0,15410.0,15700.0,15405.0,0
2010-01-21,15400.0,15550.0,15550.0,15310.0,0
2010-01-22,15460.0,15605.0,15650.0,15400.0,0
2010-01-25,15570.0,15600.0,15650.0,15535.0,0
2010-01-26,15460.0,15335.0,15510.0,15320.0,0
2010-01-27,15420.0,15365.0,15420.0,15325.0,0
2010-01-28,15200.0,15280.0,15315.0,15200.0,0
2010-01-29,15265.0,15260.0,15335.0,15185.0,0
2010-02-01,15275.0,15340.0,15380.0,15250.0,0
2010-02-02,15295.0,15170.0,15320.0,15120.0,0
2010-02-03,15300.0,15405.0,15425.0,15260.0,0
2010-02-04,15350.0,15435.0,15475.0,15320.0,0
2010-02-05,15275.0,15370.0,15385.0,15250.0,0
2010-02-08,15200.0,15190.0,15240.0,15135.0,0
2010-02-09,15340.0,15300.0,15360.0,15280.0,0
2010-02-10,15490.0,15485.0,15580.0,15445.0,0
2010-02-11,15550.0,15530.0,15565.0,15495.0,0
2010-02-12,15560.0,15575.0,15600.0,15530.0,0
2010-02-22,16205.0,16075.0,16300.0,16005.0,0
2010-02-23,16150.0,16155.0,16215.0,16100.0,0
2010-02-24,16100.0,15970.0,16125.0,15970.0,0
2010-02-25,15995.0,15810.0,16015.0,15805.0,0
2010-02-26,15960.0,16105.0,16135.0,15960.0,0
2010-03-01,16255.0,16125.0,16305.0,16100.0,0
2010-03-02,16155.0,16005.0,16155.0,15980.0,0
2010-03-03,16000.0,16175.0,16205.0,15950.0,0
2010-03-04,16205.0,16065.0,16275.0,16065.0,0
2010-03-05,16080.0,16130.0,16145.0,16060.0,0
2010-03-08,16180.0,16175.0,16280.0,16130.0,0
2010-03-09,16180.0,16400.0,16440.0,16175.0,0
2010-03-10,16305.0,16270.0,16345.0,16225.0,0
2010-03-11,16260.0,16140.0,16300.0,16090.0,0
2010-03-12,16115.0,16215.0,16230.0,16055.0,0
2010-03-15,16280.0,16310.0,16350.0,16250.0,0
2010-03-16,16315.0,16390.0,16440.0,16165.0,0
2010-03-17,16500.0,16505.0,16540.0,16415.0,0
2010-03-18,16460.0,16475.0,16555.0,16385.0,0
2010-03-19,16560.0,16710.0,16790.0,16550.0,0
2010-03-22,16695.0,16715.0,16800.0,16690.0,0
2010-03-23,16750.0,16625.0,16790.0,16560.0,0
2010-03-24,16700.0,16585.0,16700.0,16555.0,0
